feature,name_patterns_matched,is_lab_test,is_vital,contains_disease_token,semantic_target_labels,forced_research_only,derived_representation,best_label,max_single_feature_auc,mutual_info,stage,decision,rationale
Rhinorrhée (Rhinorrhea),,False,False,False,,False,model_encoding,dengue,0.5335,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Somnolence ou léthargie  (Drowsiness or lethargy),,False,False,False,,False,model_encoding,other_diseases,0.599,0.0203,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Vertige (Dizzy),,False,False,False,,False,model_encoding,typhoid,0.6926,0.0141,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Inflammation de conjonctivite,,False,False,False,,False,model_encoding,malaria,,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Douleur abdominale (stomac pain),,False,False,False,,False,model_encoding,yellow_fever,0.6509,0.0029,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Distension abdominale (Ventre gonflé) (Abdominal Distension (Swelling Stomach)/ Ascites),,False,False,False,,False,missing_indicator,yellow_fever,0.5532,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Mal de gorge (throat pain),,False,False,False,,False,model_encoding,dengue,0.5056,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Toux (Cough),,False,False,False,,False,model_encoding,typhoid,0.5829,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Diarrhée  (Diarrhea),,False,False,False,,False,model_encoding,malaria,0.5969,0.0102,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Douleur rétro-orbitrale (Retro-orbital pain),,False,False,False,,False,model_encoding,dengue,0.5392,0.0155,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Céphalée (Headache),,False,False,False,,False,model_encoding,typhoid,0.62,0.0025,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Sensation de frissons ou de froid (Shiver or cold sensation),,False,False,False,,False,model_encoding,yellow_fever,0.6779,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Mictions fréquentes.(Frequent Urination),,False,False,False,,False,model_encoding,malaria,0.5238,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Constipation,,False,False,False,,False,model_encoding,malaria,0.5238,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Oligurie (Oliguria),,False,False,False,,False,model_encoding,dengue,0.6214,0.0475,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Mictions fréquentes. (Frequent Urination),,False,False,False,,False,model_encoding,yellow_fever,0.5532,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Prostration,,False,False,False,,False,model_encoding,other_diseases,0.5872,0.0096,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Ictère (Icterus),,False,False,False,,False,model_encoding,other_diseases,0.5236,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Epistaxis ((Bleeding nose),,False,False,False,,False,model_encoding,malaria,0.5263,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Convulsions généralisées ou focales (Generalised or focal convulsion),,False,False,False,,False,model_encoding,typhoid,0.5578,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Convulsions multiples (Multiple convulsions),,False,False,False,,False,model_encoding,typhoid,0.5452,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Délire,,False,False,False,,False,model_encoding,malaria,0.5214,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Confusion/ niveau de conscience altéré (impaired level of consciousness),,False,False,False,,False,model_encoding,dengue,0.5119,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Rougeur faciale (Facial flushing),,False,False,False,,False,model_encoding,malaria,,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Gonflement du visage (Facial Swelling),,False,False,False,,False,missing_indicator,yellow_fever,0.5556,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Sudation excessive (Profuse sweating),,False,False,False,,False,model_encoding,malaria,,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Délire /Discours irrationnel (Delirium/ Irrational Talking),,False,False,False,,False,missing_indicator,typhoid,0.5227,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Hémoglobinurie (Hemoglobinuria),,False,False,False,,False,model_encoding,typhoid,0.5201,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Goût amer dans la gorge (Bitter taste in your Throat),,False,False,False,,False,model_encoding,yellow_fever,0.5556,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Test de garrot positif (Positive tourniquet test),test;positive;positif,False,False,False,,False,model_encoding,dengue,0.6312,0.0387,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Raideur (Stiffness),,False,False,False,,False,model_encoding,other_diseases,0.5102,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Détresse respiratoire (Respiratory distress),,False,False,False,,False,model_encoding,other_diseases,0.5843,0.0117,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Choc septique (Shock),,False,False,False,,False,model_encoding,other_diseases,0.5101,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Hépatomégalie (Hepatomegaly),,False,False,False,,False,model_encoding,dengue,0.6103,0.0422,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),,False,False,False,,False,model_encoding,other_diseases,0.5135,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),,False,False,False,,False,model_encoding,malaria,0.5238,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Splénomégalie modérée,,False,False,False,,False,model_encoding,dengue,0.6095,0.0329,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Choc septique (Septicemia),,False,False,False,,False,model_encoding,dengue,0.5056,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Syndrome d'icterus subaigu (Sub-icterus),,False,False,False,,False,model_encoding,other_diseases,0.5101,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Lymphadénopathie / Lymphadenopa thy,,False,False,False,,False,missing_indicator,dengue,0.5119,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),,False,True,False,,False,model_encoding,typhoid,0.6772,0.0165,T1_vital,pre_lab,Vital sign (pre-lab)
Fréquence respiratoire (médiane IQR) / Respiratory rate (median breaths/min IQR),,False,True,False,,False,missing_indicator,typhoid,0.6128,0.0173,T1_vital,pre_lab,Vital sign (pre-lab)
Fréquence du pouls (battements/m in ± SD)./ Pulse rate (mean beats/min ± SD) - Shock ou Myocarditis,,False,True,False,,False,model_encoding,typhoid,0.6787,0.051,T1_vital,pre_lab,Vital sign (pre-lab)
Pression artérielle (moyenne mmHg ± SD). / Arterial blood pressure (mean mmHg ± SD),,False,True,False,,False,model_encoding,typhoid,0.7651,0.0733,T1_vital,pre_lab,Vital sign (pre-lab)
Temps de remplissage capillaire (médiane secs IQR). / Capillary refill time (median secs IQR),,False,True,False,,False,missing_indicator,dengue,0.6375,0.0412,T1_vital,pre_lab,Vital sign (pre-lab)
Test TDR,test;tdr,True,False,False,,False,model_encoding,malaria,0.8279,0.0585,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Goutte épaisse,goutte,True,False,False,,False,model_encoding,malaria,0.7901,0.0549,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Hémoconcentration,,True,False,False,,False,model_encoding,typhoid,0.628,0.002,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Pâleur cutanéo muqueuse ou Anémie (Mucosal skin pallor or Anemia),,False,False,False,,False,model_encoding,typhoid,0.6882,0.0122,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Hypoglycémie (Hypoglycemia),,False,False,False,,False,model_encoding,malaria,0.5567,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Hematocrite (Hematrocrit),,True,False,False,,False,model_encoding,malaria,0.6802,0.0284,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Transaminases (Transaminases),,True,False,False,,False,model_encoding,other_diseases,0.5404,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Thrombocytopénie(Thrombocytopenia),,True,False,False,,False,model_encoding,typhoid,0.5728,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Lymphocytopénie (Lymphocytopenia),,True,False,False,,False,model_encoding,typhoid,0.5251,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Lymphocytes,,True,False,False,,False,missing_indicator,typhoid,0.6679,0.0241,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Neutropénie (Neutropenia),,True,False,False,,False,model_encoding,malaria,0.5378,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Nombre de globules blancs (cellules/ML) / White blood cell count / WBC count (cells/ML),,True,False,False,,False,missing_indicator,yellow_fever,0.6834,0.0063,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Numération plaquettaire Platelet count,,True,False,False,,False,model_encoding,other_diseases,0.6454,0.0485,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Neutrophiles / Neutrophils,,True,False,False,,False,model_encoding,typhoid,0.7119,0.0932,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
CRP>50 /CRP 10-50,,True,False,False,,False,model_encoding,malaria,0.5378,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Créatinine élevée / Elevated Creatinine,,True,False,False,,False,model_encoding,dengue,0.621,0.0255,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT,,True,False,False,,False,model_encoding,other_diseases,0.5572,0.022,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Diabète,,False,False,False,,False,model_encoding,dengue,0.5273,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Hypertension artérielle,,False,False,False,,False,model_encoding,other_diseases,0.5743,0.0422,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Drépanocytose,,False,False,False,,False,model_encoding,other_diseases,0.5338,0.0273,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Maladie rhumatismale,,False,False,False,,False,missing_indicator,malaria,0.5238,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Maladie auto immune,,False,False,False,,False,missing_indicator,malaria,0.5238,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Arthrose,,False,False,False,,False,missing_indicator,malaria,0.5238,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Allergies,,False,False,False,,False,missing_indicator,malaria,0.5238,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Cancer,,False,False,False,,False,missing_indicator,malaria,0.5238,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Asthme (Astma),,False,False,False,,False,model_encoding,malaria,0.5238,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Carences en leucocytes (Leucopenia),,True,False,False,,False,missing_indicator,malaria,0.5263,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Pneumonie (Pneumonia),,False,False,False,,False,model_encoding,other_diseases,0.5404,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Dengue dans le menage (Household Dengue),dengue,False,False,True,dengue,False,missing_indicator,malaria,0.5263,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Dengue (Dengua),dengue;dengua,False,False,True,dengue,False,model_encoding,dengue,0.9762,0.4423,T3_restate,research_only,Disease-named feature ~ target (post-diagnosis)
Autres maladies présentées par le patient,,False,False,False,other_diseases,True,presence,other_diseases,0.9662,0.5321,T3_restate,research_only,Explicitly governed target-restatement / post-diagnosis field
