feature,name_patterns_matched,is_lab_test,is_vital,contains_disease_token,semantic_target_labels,forced_research_only,derived_representation,best_label,max_single_feature_auc,mutual_info,stage,decision,rationale
Neutrophiles / Neutrophils,,True,False,False,,False,model_encoding,typhoid,0.6815,0.0098,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
CRP>50 /CRP 10-50,,True,False,False,,False,missing_indicator,yellow_fever,0.5348,0.0007,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Créatinine élevée / Elevated Creatinine,,True,False,False,,False,model_encoding,dengue,0.634,0.02,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
ALAT / ASAT élevés. / Elevated ALAT / Elevated ASAT,,True,False,False,,False,model_encoding,typhoid,0.5519,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Diabète,,False,False,False,,False,model_encoding,dengue,0.5234,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Hypertension artérielle,,False,False,False,,False,model_encoding,other_diseases,0.5708,0.0403,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Drépanocytose,,False,False,False,,False,model_encoding,other_diseases,0.5253,0.015,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Maladie rhumatismale,,False,False,False,,False,missing_indicator,malaria,0.5154,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Maladie auto immune,,False,False,False,,False,missing_indicator,malaria,0.5154,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Arthrose,,False,False,False,,False,missing_indicator,malaria,0.5154,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Allergies,,False,False,False,,False,missing_indicator,malaria,0.5154,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Cancer,,False,False,False,,False,missing_indicator,malaria,0.5154,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Asthme (Astma),,False,False,False,,False,model_encoding,malaria,0.5154,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Carences en leucocytes (Leucopenia),,True,False,False,,False,missing_indicator,malaria,0.5172,0.0,T2_lab,lab_aware,Ordered lab / rapid diagnostic test
Pneumonie (Pneumonia),,False,False,False,,False,model_encoding,other_diseases,0.5607,0.0543,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Dengue dans le menage (Household Dengue),dengue,False,False,True,dengue,False,model_encoding,dengue,0.5179,0.0,T0_intake,pre_lab,Demographic / symptom / history (pre-lab)
Dengue (Dengua),dengue;dengua,False,False,True,dengue,False,model_encoding,dengue,0.9643,0.4084,T3_restate,research_only,Disease-named feature ~ target (post-diagnosis)
Autres maladies présentées par le patient,,False,False,False,other_diseases,True,presence,other_diseases,0.9747,0.562,T3_restate,research_only,Explicitly governed target-restatement / post-diagnosis field
